Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
3,84,CIN,Shawn Williams,DB,22,2020,0,0,4,23,23,116,0,0,0,0,0,2,46,0,0,0,0,302,12,3,Georgia,College Stats
3,85,WAS,Jordan Reed,TE,23,2020,0,1,3,24,24,72,0,0,0,0,0,1,18,0,351,3571,27,,,,Florida,College Stats
3,86,IND,Hugh Thornton,G,22,2015,0,0,3,15,15,37,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats
3,87,SEA,Jordan Hill,DT,22,2016,0,0,0,6,6,31,0,0,0,0,0,0,0,0,0,0,0,31,1,7,Penn St.,College Stats
3,88,SFO,Corey Lemonier,DE,21,2016,0,0,0,4,3,51,0,0,0,0,0,0,0,0,0,0,0,35,,3,Auburn,College Stats
3,89,HOU,Brennan Williams,OL,22,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,College Stats
3,90,DEN,Kayvon Webster,DB,22,2019,0,0,1,9,4,69,0,0,0,0,0,0,0,0,0,0,0,118,2,,South Florida,College Stats
3,91,NWE,Duron Harmon,DB,22,2020,0,0,1,17,17,123,0,0,0,0,0,0,0,0,0,0,0,171,19,,Rutgers,College Stats
3,92,STL,Stedman Bailey,WR,22,2015,0,0,0,7,7,38,0,0,0,0,0,3,46,1,59,843,2,9,,,West Virginia,College Stats
3,93,MIA,Will Davis,DB,23,2016,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,26,1,,Utah St.,College Stats
3,94,BAL,Brandon Williams,DT,24,2020,0,1,6,44,44,106,0,0,0,0,0,0,0,0,0,0,0,162,,6.5,Missouri Southern,
3,95,HOU,Sam Montgomery,DE,23,2014,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
3,96,KAN,Knile Davis,RB,21,2016,0,0,0,10,10,57,0,0,0,0,0,250,805,11,34,271,1,1,,,Arkansas,College Stats
3,97,TEN,Zaviar Gooden,LB,23,2016,0,0,0,4,3,32,0,0,0,0,0,0,0,0,0,0,0,30,,,Missouri,College Stats
4,98,PHI,Matt Barkley,QB,22,2020,0,0,1,4,1,16,204,347,2524,10,21,17,-6,0,1,2,1,,,,USC,College Stats
4,99,KAN,Nico Johnson,LB,23,2015,0,0,0,3,1,18,0,0,0,0,0,0,0,0,0,0,0,13,,,Alabama,College Stats
4,100,TAM,Akeem Spence,DT,21,2020,0,0,4,25,12,105,0,0,0,0,0,0,0,0,0,0,0,122,,10.5,Illinois,College Stats
4,101,JAX,Ace Sanders,WR,21,2014,0,0,0,3,3,27,1,1,21,1,0,2,4,0,57,539,1,1,,,South Carolina,College Stats
4,102,NWE,Josh Boyce,WR,22,2014,0,0,0,1,1,10,0,0,0,0,0,0,0,0,9,121,0,,,,TCU,College Stats
4,103,ARI,Alex Okafor,DE,22,2020,0,0,5,28,14,85,0,0,0,0,0,0,0,0,0,0,0,137,1,28,Texas,College Stats
4,104,MIA,Jelani Jenkins,LB,21,2017,0,0,3,16,15,60,0,0,0,0,0,0,0,0,0,0,0,172,,3.5,Florida,College Stats
4,105,BUF,Duke Williams,DB,22,2016,0,0,0,8,8,58,0,0,0,0,0,0,0,0,0,0,0,73,1,1,Nevada,College Stats
4,106,MIA,Dion Sims,TE,22,2018,0,0,2,7,6,78,0,0,0,0,0,0,0,0,91,888,9,,,,Michigan St.,College Stats
4,107,TEN,Brian Schwenke,C,22,2018,0,0,2,13,13,60,0,0,0,0,0,0,0,0,1,6,0,,,,California,College Stats
4,108,CAR,Edmund Kugbila,OL,22,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Valdosta St.,
4,109,GNB,David Bakhtiari,T,21,2020,1,2,7,75,75,115,0,0,0,0,0,0,0,0,0,0,0,1,,,Colorado,College Stats
4,110,NYG,Ryan Nassib,QB,23,2015,0,0,0,0,0,5,9,10,128,1,0,2,-3,0,0,0,0,,,,Syracuse,College Stats
4,111,PIT,Shamarko Thomas,DB,22,2018,0,0,0,5,4,66,0,0,0,0,0,0,0,0,0,0,0,57,,,Syracuse,College Stats
4,112,OAK,Tyler Wilson,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats
4,113,STL,Barrett Jones,G,23,2014,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
4,114,DAL,B.W. Webb,DB,23,2019,0,0,2,13,1,80,0,0,0,0,0,0,0,0,0,0,0,142,4,1,William & Mary,
4,115,PIT,Landry Jones,QB,24,2017,0,0,0,4,4,19,108,169,1310,8,7,19,-19,0,0,0,0,,,,Oklahoma,College Stats
4,116,ARI,Earl Watford,G,23,2019,0,0,1,15,11,71,0,0,0,0,0,0,0,0,0,0,0,1,,,James Madison,
4,117,CHI,Khaseem Greene,LB,24,2014,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,33,1,,Rutgers,College Stats
4,118,CIN,Sean Porter,LB,22,2016,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
4,119,WAS,Phillip Thomas,DB,24,2014,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,19,,,Fresno St.,College Stats
4,120,MIN,Gerald Hodges,LB,22,2018,0,0,1,18,8,81,0,0,0,0,0,0,0,0,0,0,0,210,3,3.5,Penn St.,College Stats
4,121,IND,Khaled Holmes,C,23,2015,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,USC,
4,122,GNB,J.C. Tretter,T,22,2020,0,0,4,24,6,91,0,0,0,0,0,0,0,0,0,0,0,,,,Cornell,
4,123,SEA,Chris Harper,WR,23,2014,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,1,,,Kansas St.,College Stats
4,124,HOU,Trevardo Williams,DE,22,2014,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,5,,1,Connecticut,College Stats
4,125,GNB,Johnathan Franklin,RB,23,2013,0,0,0,1,1,11,0,0,0,0,0,19,107,1,4,30,0,3,,,UCLA,College Stats
4,126,TAM,William Gholston,DE,22,2020,0,0,5,25,25,115,0,0,0,0,0,0,0,0,0,0,0,199,,14,Michigan St.,College Stats
